File:        06perms.txt
Description: CSV file of upload permission to the CPAN per namespace
    best-permission is one of "m" for "modulelist", "f" for
    "first-come", "c" for "co-maint"
AI::ExpertSystem::Advanced::KnowledgeDB::YAML,PFISCHER,f
AI::ExpertSystem::Advanced::Viewer::Base,PFISCHER,f
AI::ExpertSystem::Advanced::Viewer::Factory,PFISCHER,f
AI::ExpertSystem::Advanced::Viewer::Terminal,PFISCHER,f
AI::ExpertSystem::Simple,PETERHI,m
AI::ExpertSystem::Simple::Goal,PETERHI,f
AI::ExpertSystem::Simple::Knowledge,PETERHI,f
AI::ExpertSystem::Simple::Rule,PETERHI,f
AI::FANN,SALVA,m
AI::FreeHAL::Class,TSCHULZ,f
AI::FreeHAL::Class::SCR,TSCHULZ,f
AI::FreeHAL::Config,TSCHULZ,f
AI::FreeHAL::Config::Block,TSCHULZ,f
AI::FreeHAL::Config::Comment,TSCHULZ,f
AI::FreeHAL::Config::Gap,TSCHULZ,f
AI::FreeHAL::Config::Hash,TSCHULZ,f
AI::FreeHAL::Config::Keyval,TSCHULZ,f
AI::FreeHAL::Engine,TSCHULZ,f
AI::FreeHAL::Module::Parser,TSCHULZ,f
AI::FreeHAL::Module::Tagger,TSCHULZ,f
AI::FreeHAL::Module::WebAccess,TSCHULZ,f
AI::Fuzzy,SABREN,m
AI::Fuzzy::Axis,TSCANLAN,f
AI::Fuzzy::Label,SABREN,c
AI::Fuzzy::Label,TSCANLAN,f
AI::Fuzzy::Set,SABREN,c
AI::Fuzzy::Set,TSCANLAN,f
AI::FuzzyInference,AQUMSIEH,f
AI::FuzzyInference::Set,AQUMSIEH,f
AI::FuzzyLogic,SWALTERS,f
AI::FuzzyLogic::Abstractor,SWALTERS,f
AI::FuzzyLogic::Correlator,SWALTERS,f
AI::FuzzyLogic::Discriminator,SWALTERS,f
AI::FuzzyLogic::MetaSubset,SWALTERS,f
AI::FuzzyLogic::Permutator,SWALTERS,f
AI::FuzzyLogic::Subset,SWALTERS,f
AI::Gene::Sequence,AJGOUGH,m
AI::Gene::Simple,AJGOUGH,m
AI::General,MCEGLOWS,f
AI::Genetic,AQUMSIEH,f
AI::Genetic::Defaults,AQUMSIEH,f
AI::Genetic::IndBitVector,AQUMSIEH,f
AI::Genetic::IndLIST,AQUMSIEH,f
AI::Genetic::IndLOL,AQUMSIEH,f
AI::Genetic::IndListVector,AQUMSIEH,f
AI::Genetic::IndRangeVector,AQUMSIEH,f
AI::Genetic::Individual,AQUMSIEH,f
AI::Genetic::OpCrossover,AQUMSIEH,f
AI::Genetic::OpMutation,AQUMSIEH,f
AI::Genetic::OpSelection,AQUMSIEH,f
AI::Genetic::Pro,STRZELEC,m
AI::Genetic::Pro::Array::Type,STRZELEC,f
AI::Genetic::Pro::Chromosome,STRZELEC,f
AI::Genetic::Pro::Crossover::Distribution,STRZELEC,f
AI::Genetic::Pro::Crossover::OX,STRZELEC,f
AI::Genetic::Pro::Crossover::PMX,STRZELEC,f
AI::Genetic::Pro::Crossover::Points,STRZELEC,f
AI::Genetic::Pro::Crossover::PointsAdvanced,STRZELEC,f
AI::Genetic::Pro::Crossover::PointsBasic,STRZELEC,f
AI::Genetic::Pro::Crossover::PointsSimple,STRZELEC,f
AI::Genetic::Pro::Mutation::Bitvector,STRZELEC,f
AI::Genetic::Pro::Mutation::Combination,STRZELEC,f
AI::Genetic::Pro::Mutation::Listvector,STRZELEC,f
AI::Genetic::Pro::Mutation::Rangevector,STRZELEC,f
AI::Genetic::Pro::Selection::Distribution,STRZELEC,f
AI::Genetic::Pro::Selection::Roulette,STRZELEC,f
AI::Genetic::Pro::Selection::RouletteBasic,STRZELEC,f
AI::Genetic::Pro::Selection::RouletteDistribution,STRZELEC,f
AI::LibNeural,RMCFARLA,f
AI::Logic::AnswerSet,LEVIA,f
AI::MaxEntropy,LAYE,f
AI::MaxEntropy::Model,LAYE,f
AI::MaxEntropy::Util,LAYE,f
AI::MegaHAL,CHORNY,f
AI::MegaHAL,CSPENCER,c
AI::Menu,JSMITH,f
AI::Menu::Factory,JSMITH,f
AI::Menu::Maker,JSMITH,f
AI::MicroStructure,SANTEX,f
AI::MicroStructure::Alias,SANTEX,f
AI::MicroStructure::List,SANTEX,f
AI::MicroStructure::Locale,SANTEX,f
AI::MicroStructure::MultiList,SANTEX,f
AI::MicroStructure::RemoteList,SANTEX,f
AI::MicroStructure::any,SANTEX,f
AI::MicroStructure::foo,SANTEX,f
AI::MicroStructure::galaxies,SANTEX,f
AI::MicroStructure::planets,SANTEX,f
AI::MicroStructure::spaceflight,SANTEX,f
AI::MicroStructure::stars,SANTEX,f
AI::NNEasy,GMPASSOS,f
AI::NNEasy::NN,GMPASSOS,f
AI::NNEasy::NN::backprop,GMPASSOS,f
AI::NNEasy::NN::feedforward,GMPASSOS,f
AI::NNEasy::NN::feedforward_backprop,GMPASSOS,f
AI::NNEasy::NN::layer,GMPASSOS,f
AI::NNEasy::NN::node,GMPASSOS,f
AI::NNEasy::NN::reinforce,GMPASSOS,f
AI::NNFlex,CCOLBOURN,m
